name,wave,ir,tune,body,punch,length,drive,colour,metal,reverb,reverbDecay,width,sub,impact,space,grit,shape,evolve,destroy,clipper,calibration,family,mode
Rave Foundation / SUSTAIN,4,0,51.587,0.7694000000000001,0.62,333.9785,0.24349999999999997,0.7642,0.9349,0.0,400.0,1.0,0.7111999999999999,0.7041999999999999,0.0,0.6631,0.42960000000000004,0.5507,0.39590000000000003,0.4394,-5.0,RAVE,CORE
Saw Pressure / SUSTAIN,4,0,56.511,0.5627,0.6537999999999999,350.0,0.3919,0.95,0.7708999999999999,0.0,400.0,1.0,0.56,0.782,0.0,0.5991,0.2989,0.30010000000000003,0.6725,0.2308,-5.0,RAVE,CORE
Warehouse Rave / SUSTAIN,4,0,57.189,0.5690999999999999,0.8299000000000001,313.534,0.6355999999999999,0.7317,0.6666,0.0,400.0,1.0,0.7279,0.68,0.0,0.515,0.4797,0.62,0.4031,0.3308,-5.0,RAVE,CORE
Red Strobe / SUSTAIN,4,0,53.5,0.7874000000000001,0.8140000000000001,336.2725,0.2796,0.7242999999999999,0.5945999999999999,0.0,400.0,1.0,0.6602,0.7338,0.0,0.7565000000000001,0.2869,0.3169,0.74,0.5223,-5.0,RAVE,CORE
Rave Saw / SUSTAIN,4,0,55.663,0.5817000000000001,0.8727,350.0,0.30160000000000003,0.8329,0.6243,0.0,400.0,1.0,0.6286999999999999,0.9121999999999999,0.0,0.6792,0.6225999999999999,0.3956,0.39940000000000003,0.5845,-5.0,RAVE,CORE
Overdrive 1999 / SUSTAIN,4,0,56.228,0.7571000000000001,0.8419000000000001,350.0,0.24399999999999997,0.8562,0.95,0.0,400.0,1.0,0.56,0.6927000000000001,0.0,0.6685,0.65,0.5158,0.5566,0.5057,-5.0,RAVE,CORE
Neon Tunnel / SUSTAIN,4,0,57.331,0.7138,0.7861,286.1765,0.32780000000000004,0.95,0.597,0.0,400.0,1.0,0.7223999999999999,0.9261999999999999,0.0,0.6307,0.3935,0.6139,0.5198,0.40850000000000003,-5.0,RAVE,CORE
Acid Hammer / SUSTAIN,4,0,57.386,0.6124,0.8828,300.57599999999996,0.6146999999999999,0.6881999999999999,0.7192999999999999,0.0,400.0,1.0,0.7344999999999999,0.8651,0.0,0.38720000000000004,0.5982999999999999,0.62,0.6517000000000001,0.617,-5.0,RAVE,CORE
Alarm State / SUSTAIN,4,0,59.733,0.82,0.7112,335.5285,0.468,0.9381999999999999,0.8651,0.0,400.0,1.0,0.56,0.68,0.0,0.3779,0.6465,0.45820000000000005,0.6824,0.2314,-5.0,RAVE,CORE
Belgian Basement / SUSTAIN,4,0,59.221,0.8181,0.6682999999999999,343.8675,0.5061,0.95,0.95,0.0,400.0,1.0,0.5913999999999999,0.8553,0.0,0.6995,0.5832999999999999,0.62,0.3897,0.438,-5.0,RAVE,CORE
Rave Foundation / MUTANT,4,0,54.587,0.6194000000000001,0.7664,193.923,0.3135,0.8442000000000001,0.95,0.0,400.0,1.0,0.6812,0.8542,0.0,0.7431,0.5096,0.5907,0.4659,0.45940000000000003,-5.0,RAVE,CORE
Saw Pressure / MUTANT,4,0,59.511,0.42,0.8038,231.363,0.4619,0.95,0.8709,0.0,400.0,1.0,0.56,0.9319999999999999,0.0,0.6790999999999999,0.3789,0.3401,0.74,0.2508,-5.0,RAVE,CORE
Warehouse Rave / MUTANT,4,0,60.189,0.42,0.9799,182.052,0.68,0.8117000000000001,0.7666,0.0,400.0,1.0,0.6979,0.8291,0.0,0.595,0.5597,0.62,0.47309999999999997,0.3508,-5.0,RAVE,CORE
Red Strobe / MUTANT,4,0,56.5,0.6374000000000001,0.964,195.255,0.3496,0.8043,0.6945999999999999,0.0,400.0,1.0,0.6302000000000001,0.8837999999999999,0.0,0.76,0.3669,0.3569,0.74,0.5423,-5.0,RAVE,CORE
Rave Saw / MUTANT,4,0,58.663,0.43170000000000003,0.99,238.06799999999998,0.37160000000000004,0.9129,0.7242999999999999,0.0,400.0,1.0,0.5987,0.99,0.0,0.7592,0.65,0.4356,0.46940000000000004,0.6044999999999999,-5.0,RAVE,CORE
Overdrive 1999 / MUTANT,4,0,59.228,0.6071000000000001,0.99,244.71900000000002,0.31399999999999995,0.9361999999999999,0.95,0.0,400.0,1.0,0.56,0.8427,0.0,0.7484999999999999,0.65,0.5558000000000001,0.6265999999999999,0.5257,-5.0,RAVE,CORE
Neon Tunnel / MUTANT,4,0,60.331,0.5638000000000001,0.9360999999999999,166.167,0.39780000000000004,0.95,0.6970000000000001,0.0,400.0,1.0,0.6923999999999999,0.99,0.0,0.7107,0.47350000000000003,0.62,0.5898,0.42850000000000005,-5.0,RAVE,CORE
Acid Hammer / MUTANT,4,0,60.386,0.4624,0.99,174.528,0.68,0.7682,0.8192999999999999,0.0,400.0,1.0,0.7044999999999999,0.99,0.0,0.46720000000000006,0.65,0.62,0.7217,0.637,-5.0,RAVE,CORE
Alarm State / MUTANT,4,0,62.0,0.6795,0.8612,194.823,0.538,0.95,0.95,0.0,400.0,1.0,0.56,0.8121999999999999,0.0,0.4579,0.65,0.49820000000000003,0.74,0.2514,-5.0,RAVE,CORE
Belgian Basement / MUTANT,4,0,62.0,0.6681,0.8182999999999999,199.665,0.5761000000000001,0.95,0.95,0.0,400.0,1.0,0.5613999999999999,0.99,0.0,0.76,0.65,0.62,0.4597,0.458,-5.0,RAVE,CORE
