index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
10,Clean Weight / TIGHT,ROUND,TIGHT,1,1,0.913242,0.0943934,10.1066,0,-6.30984e-09,-6.49215,-4.71538,-7.47277,-11.934,-18.0882,-15.013,-1.52457,-7.52816,0.408333,-120.775,-4.25655e-09,56.9235
11,Club Anchor / TIGHT,ROUND,TIGHT,1,1,0.921176,0.101,9.60419,0,-5.99518e-10,-5.86183,-4.34894,-7.18345,-11.0462,-16.8976,-14.3227,-0.913547,-6.77794,0.747222,-120.194,-5.96321e-09,57.159
12,Deep Concrete / TIGHT,ROUND,TIGHT,1,1,0.918109,0.095757,10.0278,0,2.90475e-09,-6.37489,-4.6447,-7.39086,-11.7179,-17.8855,-14.9345,-1.44207,-7.44005,0.472222,-121.993,-1.0653e-11,57.7556
13,Round Hammer / TIGHT,ROUND,TIGHT,1,1,0.883653,0.0870678,10.4928,0,-8.83231e-10,-7.2694,-5.18397,-7.74968,-13.0521,-19.625,-15.7907,-2.49105,-9.07355,0.363889,-137.748,-5.72362e-10,65.9706
14,Dark Pulse / TIGHT,ROUND,TIGHT,1,1,0.92047,0.100588,9.65455,0,-2.56076e-09,-6.26468,-4.43591,-7.05837,-11.1419,-16.9211,-14.9351,-0.868113,-6.60446,0.588889,-115.531,-5.47254e-09,54.8646
15,Tight Basement / TIGHT,ROUND,TIGHT,1,1,0.91539,0.0942275,10.1362,0,-2.99984e-09,-6.91293,-4.82126,-7.24107,-11.9301,-18.1647,-15.7235,-1.77276,-8.01497,0.463889,-132.015,-1.44686e-09,63.7599
16,Sub Foundation / TIGHT,ROUND,TIGHT,1,1,0.921556,0.0946362,10.1279,0,-5.08809e-10,-6.43727,-4.44635,-7.29457,-12.0334,-18.7643,-15.4388,-1.82343,-8.50855,0.619444,-145.266,8.26069e-10,70.8347
17,Warm Reactor / TIGHT,ROUND,TIGHT,1,1,0.92225,0.0959778,10.0232,0,-6.0891e-09,-6.32958,-4.41859,-7.26605,-11.7935,-18.3943,-15.3455,-1.41323,-7.95003,0.655556,-138.43,8.26153e-11,67.0437
18,Black Drum / TIGHT,ROUND,TIGHT,1,1,0.916332,0.101523,9.59392,0,3.09237e-09,-6.55088,-4.88728,-6.83997,-11.0372,-16.2739,-15.6876,-0.969233,-6.08905,0.580556,-105.949,-2.08011e-08,50.2245
19,Sub Vault / TIGHT,ROUND,TIGHT,1,1,0.920628,0.0995018,9.71335,0,-3.79746e-09,-6.27355,-4.58723,-6.8646,-11.2298,-17.4602,-15.3335,-1.21492,-7.29643,0.688889,-131.127,4.39252e-09,63.6402
20,Clean Weight / HEAVY,ROUND,HEAVY,1,1,0.922571,0.112564,8.93132,0.0520833,-3.87222e-07,-5.79115,-4.08461,-7.04401,-9.98961,-14.5021,-14.212,0.0245139,-4.09886,1.08889,-76.1901,-1.25241e-07,33.7424
21,Club Anchor / HEAVY,ROUND,HEAVY,1,1,0.920282,0.117374,8.57413,0,1.75406e-08,-5.72972,-3.96989,-6.97557,-9.38868,-13.7526,-13.6971,0.346025,-3.72264,1.64722,-75.4549,-5.94508e-07,33.7516
22,Deep Concrete / HEAVY,ROUND,HEAVY,1,1,0.922571,0.114249,8.8116,0.0666667,-5.90508e-07,-5.6872,-4.05403,-6.95438,-9.82453,-14.2684,-14.1903,0.213306,-3.868,1.20556,-75.8598,8.32706e-09,33.6647
