display_name,family,wave,mode,tune,body,punch,length,drive,colour,metal,sub,impact,grit,shape,evolve,destroy,clipper,reverb,reverbDecay,width,space,calibration
Clean Attack / HEAVY,PUNCH,1,HEAVY,49.5,0.84,0.6618999999999999,204.81259999999997,0.4425,0.2925,0.1498,0.9277,0.8069999999999999,0.3538,0.1533,0.17659999999999998,0.0913,0.24309999999999998,0.0,400.0,1.0,0.0,-5.0
Pressure Point / HEAVY,PUNCH,1,HEAVY,49.5,0.84,0.8862,241.51059999999998,0.1707,0.6113999999999999,0.2127,0.9229,0.8262999999999999,0.1666,0.3919,0.2291,0.1152,0.31260000000000004,0.0,400.0,1.0,0.0,-5.0
Warehouse Knock / HEAVY,PUNCH,1,HEAVY,50.217,0.5919,0.9287,248.9328,0.3821,0.3716,0.0363,0.96,0.8745999999999999,0.1596,0.25170000000000003,0.1735,0.2514,0.1832,0.0,400.0,1.0,0.0,-5.0
Fast Driver / HEAVY,PUNCH,1,HEAVY,50.872,0.84,0.6802999999999999,229.47459999999998,0.37570000000000003,0.3624,0.1089,0.96,0.942,0.30219999999999997,0.40790000000000004,0.2128,0.1382,0.3015,0.0,400.0,1.0,0.0,-5.0
Techno Nail / HEAVY,PUNCH,1,HEAVY,56.138999999999996,0.7797,0.8613999999999999,242.0888,0.19,0.2642,0.2903,0.96,0.8822,0.3248,0.2771,0.2011,0.1996,0.2673,0.0,400.0,1.0,0.0,-5.0
Needle Punch / HEAVY,PUNCH,1,HEAVY,54.365,0.8184,0.6749999999999999,292.3214,0.1704,0.49639999999999995,0.2539,0.8815,0.8883,0.3343,0.1331,0.0637,0.0863,0.23729999999999998,0.0,400.0,1.0,0.0,-5.0
Front Row / HEAVY,PUNCH,1,HEAVY,53.783,0.5997,0.8996999999999999,300.0386,0.2667,0.5353,0.2382,0.8280000000000001,0.7617999999999999,0.2372,0.1542,0.1696,0.0943,0.0811,0.0,400.0,1.0,0.0,-5.0
Steel Toe / HEAVY,PUNCH,1,HEAVY,49.5,0.7454999999999999,0.8774,296.4396,0.3062,0.5418,0.2527,0.96,0.9266,0.2033,0.2046,0.2531,0.0798,0.28190000000000004,0.0,400.0,1.0,0.0,-5.0
Impact Driver / HEAVY,PUNCH,1,HEAVY,55.518,0.84,0.9197,221.5686,0.4454,0.3424,0.126,0.8236000000000001,0.9034,0.3737,0.33540000000000003,0.1381,0.16,0.1707,0.0,400.0,1.0,0.0,-5.0
Concrete Punch / HEAVY,PUNCH,1,HEAVY,53.552,0.7176,0.8228,280.9226,0.28459999999999996,0.6173,0.2552,0.96,0.9279999999999999,0.2551,0.2045,0.2764,0.263,0.1017,0.0,400.0,1.0,0.0,-5.0
Clean Attack / SUSTAIN,PUNCH,1,SUSTAIN,51.471,0.8361000000000001,0.6718999999999999,239.52659999999997,0.4075,0.3675,0.1798,0.7777000000000001,0.8019999999999999,0.33880000000000005,0.1633,0.24159999999999998,0.0913,0.21309999999999998,0.0,400.0,1.0,0.0,-5.0
